City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hofn,64.2539,-15.2082,42.01,91,100,8.7,IS,1619372838
Bluff,-46.6,168.3333,42.01,84,79,5.99,NZ,1619372838
Lata,40.1629,-8.3327,62.01,89,90,3.2,PT,1619372839
Evanston,42.0411,-87.6901,46.99,46,20,11.5,US,1619372667
Mehamn,71.0357,27.8492,35.6,69,75,11.5,NO,1619372839
Narsaq,60.9167,-46.05,51.8,30,75,19.57,GL,1619372711
Aklavik,68.2191,-135.0107,21.2,79,20,12.66,CA,1619372840
Paamiut,61.994,-49.6678,37.26,93,99,5.59,GL,1619372840
Miandrivazo,-19.5167,45.4667,80.2,63,100,3.76,MG,1619372840
Podporozh'ye,60.9112,34.1706,38.91,97,100,6.31,RU,1619372713
Kiunga,-6.1219,141.2906,72.9,97,98,1.88,PG,1619372841
Tromsø,69.6496,18.957,35.6,75,75,5.75,NO,1619372841
Kapaa,22.0752,-159.319,73.99,78,75,11.5,US,1619372841
Vostok,46.4856,135.8833,23.23,55,6,4.79,RU,1619372842
Nikolskoye,59.7035,30.7861,39.99,87,75,11.18,RU,1619372842
Quebo,11.3333,-14.9333,93.88,24,23,11.21,GW,1619372842
Castro,-24.7911,-50.0119,69.53,61,100,8.48,BR,1619372842
Rikitea,-23.1203,-134.9692,77.65,75,80,7.52,PF,1619372843
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,9.22,US,1619372843
Airai,-8.9266,125.4092,55.08,81,20,1.95,TL,1619372694
Upington,-28.4478,21.2561,77.0,19,0,3.44,ZA,1619372844
Kachīry,53.0675,76.1036,49.5,34,99,17.11,KZ,1619372844
Longyearbyen,78.2186,15.6401,21.2,63,40,18.41,SJ,1619372844
Tuktoyaktuk,69.4541,-133.0374,10.4,85,90,10.36,CA,1619372845
Acarí,-15.4311,-74.6158,80.35,54,15,11.18,PE,1619372596
Mount Gambier,-37.8333,140.7667,48.2,100,90,1.14,AU,1619372845
Lagoa,39.05,-27.9833,59.72,79,27,14.7,PT,1619372641
Las Vegas,36.175,-115.1372,77.0,12,1,24.16,US,1619372038
Ushuaia,-54.8,-68.3,55.4,50,75,18.41,AR,1619372845
Zyryanka,65.75,150.85,-0.81,94,5,7.43,RU,1619372846
Havelock,34.8791,-76.9013,70.0,67,79,8.01,US,1619372561
Ancud,-41.8697,-73.8203,60.01,100,90,3.56,CL,1619372846
Safaga,26.7292,33.9365,77.0,50,0,8.05,EG,1619372846
Port Alfred,-33.5906,26.891,70.65,71,98,15.39,ZA,1619372847
Kavieng,-2.5744,150.7967,81.25,77,95,3.83,PG,1619372847
Dalvik,65.9702,-18.5286,39.2,100,90,17.27,IS,1619372847
Vaini,-21.2,-175.2,75.2,94,75,6.91,TO,1619372848
Posadas,-27.3671,-55.8961,75.2,68,75,5.75,AR,1619372848
Bilibino,68.0546,166.4372,15.49,96,100,1.41,RU,1619372848
Abhā,18.2164,42.5053,62.6,59,40,8.05,SA,1619372690
Jamestown,42.097,-79.2353,50.0,81,90,11.5,US,1619372849
Bredasdorp,-34.5322,20.0403,57.2,88,100,3.44,ZA,1619372849
Flinders,-34.5833,150.8552,52.0,84,53,1.01,AU,1619372850
Hermanus,-34.4187,19.2345,62.01,86,100,1.05,ZA,1619372850
Yellowknife,62.456,-114.3525,6.8,56,75,5.75,CA,1619372643
Katsuura,35.1333,140.3,55.4,54,75,17.27,JP,1619372851
Kaitangata,-46.2817,169.8464,36.0,76,43,1.99,NZ,1619372851
Noyabrsk,63.1994,75.4507,33.6,98,100,11.61,RU,1619372852
San Cristobal,7.7669,-72.225,89.6,58,20,11.5,VE,1619372618
Çarşamba,41.1989,36.7219,51.8,76,75,2.3,TR,1619372852
